Name,Each_%_Time,Sample_Cumulative_Counts,Self_Seconds,Calls,Self_ms/Call,Total_ms/call
bubbleSort,69.21,39.30,39.30,1,39.30,39.30
selectionSort,20.34,50.85,11.55,1,11.55,11.55
insertionSort,10.44,56.78,5.93,1,5.93,5.93
copy,0.00,56.78,0.00,3,0.00,0.00
bubbleSort,69.21,39.52,39.52,1,39.52,39.52
selectionSort,19.37,50.58,11.06,1,11.06,11.06
insertionSort,11.42,57.10,6.52,1,6.52,6.52
copy,0.00,57.10,0.00,3,0.00,0.00
bubbleSort,68.40,36.47,36.47,1,36.47,36.47
selectionSort,20.20,47.24,10.77,1,10.77,10.77
insertionSort,11.40,53.32,06.08,1,06.08,06.08
copy,0.00,53.32,0.00,3,0.00,0.00
bubbleSort,68.90,37.36,37.36,1,37.36,37.36
selectionSort,19.55,47.96,10.60,1,10.60,10.60
insertionSort,11.55,54.22,6.26,1,6.26,6.26
copy,0.00,54.22,0.00,3,0.00,0.00
bubbleSort,68.93,37.90 ,37.90 ,1,37.90 ,37.90 
selectionSort,19.70,48.73,10.83,1,10.83,10.83
insertionSort,11.37,54.98,6.25,1,6.25,6.25
copy,0.00,54.98,0.00,3,0.00,0.00
bubbleSort,68.54,38.22,38.22,1,38.22,38.22
selectionSort,20.57,49.69,11.47,1,11.47,11.47
insertionSort,10.89,55.76,06.07,1,06.07,06.07
copy,0.00,55.76,0.00,3,0.00,0.00
bubbleSort,68.79,39.56,39.56,1,39.56,39.56
selectionSort,20.01,51.07,11.51,1,11.51,11.51
insertionSort,11.20,57.51,6.44,1,6.44,6.44
copy,0.00,57.51,0.00,3,0.00,0.00
bubbleSort,68.76,39.34 ,39.34 ,1,39.34 ,39.34 
selectionSort,19.89,50.72 ,11.38,1,11.38,11.38
insertionSort,11.34,57.21,6.49,1,6.49,6.49
copy,0.00,57.21,0.00,3,0.00,0.00
bubbleSort,68.73,39.35,39.35,1,39.35,39.35
selectionSort,19.95,50.77,11.42 ,1,11.42 ,11.42 
insertionSort,11.32,57.25,6.48,1,6.48,6.48
copy,0.00,57.25,0.00,3,0.00,0.00
bubbleSort,68.36,38.57 ,38.57 ,1,38.57 ,38.57 
selectionSort,20.33,50.04,11.47,1,11.47,11.47
insertionSort,11.31,56.42,6.38,1,6.38,6.38
copy,0.00,56.42,0.00,3,0.00,0.00